Relationship Name,Physical Address Line 1,Physical Zip/Postal Code,Physical City,Physical State/Province,TIB Investments Officer
Nelnet Bank,13907 S Minuteman Dr,84020,Draper,UT,Michael Ghalibaf
Founders Bank,5225 Wisconsin Ave Nw,20015,Washington,DC,Bruce Taylor
OUR Community Bank,West 18th Street,33010,Hialeah,FL,Eric Allen
Abanca Corporacion Bancaria - Miami Branch,1395 Brickell Avenue,33131,Miami,FL,Eric Allen
"Agility Bank, National Association",2401 N Shepherd Dr,77008,Houston,TX,Michael Boydston
Commencement Bank,"1313 Broadway, Suite 400",98402,Tacoma,WA,Michael Boydston
Cypress Bank & Trust,6115 N Wickham Rd,32940,Melbourne,FL,Eric Allen
Lewis & Clark Bank,15960 Agnes Ave,97045,Oregon City,OR,Michael Boydston
Multi-Bank (IO),2400 East Commercial Boulevard,33308,Fort Lauderdale,FL,Eric Allen
"Chilton Trust Company, National Association",396 Royal Palm Way,33480,Palm Beach,FL,Eric Allen
Golden Valley Bank,190 Cohasset Rd,95926,Chico,CA,Michael Boydston
Summit Bank,96 E Broadway,97401,Eugene,OR,Michael Boydston
Locality Bank,1400 S Andrews Ave,33316,Fort Lauderdale,FL,Eric Allen
Republic Bank of Arizona,645 E Missouri Ave,85012,Phoenix,AZ,Michael Ghalibaf
Gulf Coast Business Bank,12205 Metro Pkwy,33966,Fort Myers,FL,Eric Allen
Brex Bank,12832 Frontrunner Boulevard,84020,Draper,UT,Michael Ghalibaf
Rakuten bank America,6985 South Union Park Center,84047,Midvale,UT,Michael Ghalibaf
GM Financial Bank,,,Salt Lake City,UT,Michael Ghalibaf
"Figure Bank, National Association","100 West Liberty Street, Ste 600",89501,Reno,NV,Michael Ghalibaf
Anchorage Digital Bank National Association,101 South Reid Street,57103,Sioux Falls,SD,Todd Wentz
The National Capital Bank of Washington,316 Pennsylvania Ave Se,20003,Washington,DC,Bruce Taylor
Idaho First Bank,475 E Deinhard Ln,83638,Mccall,ID,Michael Boydston
U. S. Century Bank,2301 Nw 87th Ave,33172,Doral,FL,Eric Allen
People's Bank of Commerce,1528 Biddle Rd,97504,Medford,OR,Michael Boydston
"Sterling Federal Bank, F.S.B.",110 E 4th St,61081,Sterling,IL,Bruce Taylor
Piedmont Federal Savings Bank,201 S Stratford Rd,27103,Winston Salem,NC,Bruce Taylor
Bank of Hancock County,12855 Broad St,31087,Sparta,GA,Mikell Tomlinson
"First Federal Community Bank, SSB",630 Clarksville St,75460,Paris,TX,Michael Boydston
North Shore Trust and Savings,700 S Lewis Ave,60085,Waukegan,IL,Bruce Taylor
Mutual Savings and Loan Association,2900 Clearview Pkwy,70006,Metairie,LA,Mikell Tomlinson
Lyons Federal Bank,200 East Ave S,67554,Lyons,KS,Mikell Tomlinson
Hibernia Bank,325 Carondelet St,70130,New Orleans,LA,Michael Boydston
Union Federal Savings and Loan Association,104 N Tremont St,61443,Kewanee,IL,Mikell Tomlinson
Gate City Bank,500 2nd Ave N,58102,Fargo,ND,Todd Wentz
Salem Co-operative Bank,3 S Broadway,3079,Salem,NH,Mikell Tomlinson
Bison State Bank,223 Main St,67520,Bison,KS,Mikell Tomlinson
Citizens Federal Savings and Loan Association,433 Madison Ave,41011,Covington,KY,Mikell Tomlinson
Lowry State Bank,400 Florence Ave,56349,Lowry,MN,Todd Wentz
Ballston Spa National Bank,87 Front St,12020,Ballston Spa,NY,Eric Allen
"Home Savings and Loan Association of Carroll County, F.A.",210 E 2nd St,64668,Norborne,MO,Bruce Taylor
"Central Savings, f.s.b.",1601 W Belmont Ave,60657,Chicago,IL,Michael Boydston
Capitol Federal Savings Bank,700 S Kansas Ave,66603,Topeka,KS,Mikell Tomlinson
Washington Federal Bank,425 Pike St,98101,Seattle,WA,Michael Boydston
"Home Bank, National Association",503 Kaliste Saloom Rd,70508,Lafayette,LA,Mikell Tomlinson
Yakima Federal Savings and Loan Association,118 E Yakima Ave,98901,Yakima,WA,Michael Boydston
Profile Bank,45 Wakefield St,3867,Rochester,NH,Mikell Tomlinson
San Luis Valley Federal Bank,401 Edison Ave,81101,Alamosa,CO,Mikell Tomlinson
"Winter Hill Bank, FSB",342 Broadway,2145,Somerville,MA,Michael Boydston
RVR Bank,1005 E 23rd St,68025,Fremont,NE,Mikell Tomlinson
Home Savings Bank,214 N Lincoln Ave,66720,Chanute,KS,Mikell Tomlinson
ESSA Bank & Trust,200 Palmer St,18360,Stroudsburg,PA,Eric Allen
Connect Community Bank,202 Duryea St,98577,Raymond,WA,Michael Boydston
Ozarks Federal Savings and Loan Association,2 E Columbia St,63640,Farmington,MO,Bruce Taylor
"Auburn Savings Bank, FSB",256 Court St,4210,Auburn,ME,Mikell Tomlinson
Mutual Federal Bank,2212 W Cermak Rd,60608,Chicago,IL,Bruce Taylor
"RG Bank, A Savings and Loan Association",901 1st Ave,81144,Monte Vista,CO,Mikell Tomlinson
"OceanFirst Bank, National Association",975 Hooper Ave,8753,Toms River,NJ,Bruce Taylor
"Rockland Savings Bank, FSB",582 Main St,4841,Rockland,ME,Mikell Tomlinson
Hilltop National Bank,300 Country Club Rd,82609,Casper,WY,Michael Ghalibaf
Edward Jones Trust Company,12555 Manchester Rd,63131,Saint Louis,MO,Bruce Taylor
First Fed Bank,105 W 8th St,98362,Port Angeles,WA,Michael Boydston
Central Federal Savings and Loan Association,5953 W Cermak Rd,60804,Cicero,IL,Michael Boydston
Farmers and Mechanics Federal Savings Bank,225 E Main St,47424,Bloomfield,IN,Michael Boydston
Columbia Savings and Loan Association,2020 W Fond Du Lac Ave,53205,Milwaukee,WI,Todd Wentz
Colonial Federal Savings Bank,15 Beach St,2170,Quincy,MA,Michael Boydston
Argentine Federal Savings,3004 Strong Ave,66106,Kansas City,KS,Mikell Tomlinson
Custer Federal State Bank,341 S 10th Ave,68822,Broken Bow,NE,Bruce Taylor
"Maple City Savings Bank, FSB",145 Main St,14843,Hornell,NY,Eric Allen
Olympia Federal Savings and Loan Association,421 Capitol Way S,98501,Olympia,WA,Michael Boydston
First Federal Savings and Loan Bank,700 E Santa Fe St,66061,Olathe,KS,Mikell Tomlinson
Milton Savings Bank,80 Broadway St,17847,Milton,PA,Michael Boydston
North Shore Bank,15700 W Bluemound Rd,53005,Brookfield,WI,Mikell Tomlinson
First Federal Savings and Loan Association of Greene Co,25 E High St,15370,Waynesburg,PA,Eric Allen
First Federal Savings of Middletown,22 James St,10940,Middletown,NY,Eric Allen
"Golden Belt Bank, FSA",1100 E 27th St,67601,Hays,KS,Mikell Tomlinson
Kearny Bank,614 Kearny Ave,7032,Kearny,NJ,Eric Allen
Somerset Regal Bank,220 W Union Ave,8805,Bound Brook,NJ,Bruce Taylor
Arundel Federal Savings Bank,655 Crain Hwy S,21061,Glen Burnie,MD,Mikell Tomlinson
Sunnyside Federal Savings and Loan Association of Irvington,56 Main St,10533,Irvington,NY,Eric Allen
"BankFinancial, National Association",21110 Western Ave,60461,Olympia Fields,IL,Bruce Taylor
Crest Savings Bank,3301 Pacific Ave,8260,Wildwood,NJ,Eric Allen
Columbia Bank,19-01 Route 208,7410,Fair Lawn,NJ,Eric Allen
The Brattleboro Savings and Loan Association,221 Main St,5301,Brattleboro,VT,Michael Ghalibaf
First Piedmont Federal Savings and Loan Association of Gaffney,1229 W Floyd Baker Blvd,29341,Gaffney,SC,Todd Wentz
Century Savings and Loan Association,233 E Main St,81082,Trinidad,CO,Mikell Tomlinson
MidCountry Bank,7825 Washington Ave S,55439,Minneapolis,MN,Todd Wentz
Wallkill Valley Federal Savings and Loan Association,23 Wallkill Ave,12589,Wallkill,NY,Eric Allen
Evergreen Federal Bank,969 Se 6th St,97526,Grants Pass,OR,Michael Boydston
First Federal Savings Bank,633 La Salle St,61350,Ottawa,IL,Michael Boydston
"Carthage Savings and Loan, National Association",313 State St,13619,Carthage,NY,Eric Allen
Amory Federal Savings and Loan Association,213 2nd Ave N,38821,Amory,MS,Mikell Tomlinson
Ladysmith Federal Savings and Loan Association,119 W 4th St N,54848,Ladysmith,WI,Michael Boydston
Albany Bank and Trust Company National Association,3400 W Lawrence Ave,60625,Chicago,IL,Michael Boydston
Genoa Community Bank,502 Willard Ave,68640,Genoa,NE,Bruce Taylor
First Federal Bank of Kansas City,1255 Se Oldham Pkwy,64081,Lees Summit,MO,Bruce Taylor
Del Norte Bank,705 Grand Ave,81132,Del Norte,CO,Mikell Tomlinson
Newport Federal Bank,170 W Broadway,37821,Newport,TN,Bruce Taylor
American Federal Bank,215 5th St N,58102,Fargo,ND,Todd Wentz
NorthEast Community Bank,325 Hamilton Ave,10601,White Plains,NY,Eric Allen
First Federal Savings and Loan Association of Valdosta,411 N Patterson St,31601,Valdosta,GA,Todd Wentz
Lawrenceburg Federal Bank,118 W Gaines St,38464,Lawrenceburg,TN,Bruce Taylor
Fox Valley Savings Bank,51 E 1st St,54935,Fond Du Lac,WI,Michael Boydston
"Dalhart Federal Savings & Loan Association, SSB",502 Denrock Ave,79022,Dalhart,TX,Michael Boydston
Woodruff Federal Savings and Loan Association,247 N Main St,29388,Woodruff,SC,Todd Wentz
Henderson Federal Savings Bank,130 N Marshall St,75652,Henderson,TX,Michael Boydston
Eureka Homestead,1922 Veterans Memorial Blvd,70005,Metairie,LA,Michael Boydston
"Cumberland Federal Bank, FSB",1390 2nd Ave,54829,Cumberland,WI,Mikell Tomlinson
Prevail Bank,675 E Broadway Ave,54451,Medford,WI,Mikell Tomlinson
TC Federal Bank,131 S Dawson St,31792,Thomasville,GA,Eric Allen
Family Bank,134 Hand Ave W,31779,Pelham,GA,Eric Allen
Sidney Federal Savings and Loan Association,1045 10th Ave,69162,Sidney,NE,Bruce Taylor
GN Bank,4619 S Martin L King Dr,60653,Chicago,IL,Bruce Taylor
farmbank,1 S Lincoln St,63545,Green City,MO,Bruce Taylor
North Side Federal Savings and Loan Association of Chicago,5159 N Clark St,60640,Chicago,IL,Bruce Taylor
Armstrong County Building and Loan Association,935 5th Ave,16226,Ford City,PA,Eric Allen
Home Federal Savings and Loan Association of Grand Island,221 S Locust St,68801,Grand Island,NE,Mikell Tomlinson
First Federal Savings & Loan Association of Ravenswood,712 Washington St,26164,Ravenswood,WV,Mikell Tomlinson
Seneca Savings,35 Oswego St,13027,Baldwinsville,NY,Eric Allen
"Affinity Bank, National Association",3175 Highway 278,30014,Covington,GA,Eric Allen
Pioneer Federal Savings and Loan Association,202 N Main St,59722,Deer Lodge,MT,Michael Boydston
Washington Financial Bank,77 S Main St,15301,Washington,PA,Eric Allen
Heritage Bank of St Tammany,205 N Columbia St,70433,Covington,LA,Michael Boydston
Pee Dee Federal Savings Bank,106 Ne Court St,29571,Marion,SC,Todd Wentz
The Bank of Clarendon,106 S Brooks St,29102,Manning,SC,Todd Wentz
Second Federal Savings and Loan Association of Philadelphia,1727 Chestnut St,19103,Philadelphia,PA,Eric Allen
Windsor Federal Bank,270 Broad St,6095,Windsor,CT,Bruce Taylor
First Federal Savings and Loan Association of Bath,125 Front St,4530,Bath,ME,Mikell Tomlinson
Big Horn Federal Savings Bank,33 N 6th St,82426,Greybull,WY,Michael Ghalibaf
CFSBANK,101 Mckean Ave,15022,Charleroi,PA,Michael Boydston
Iroquois Federal Savings and Loan Association,201 E Cherry St,60970,Watseka,IL,Michael Boydston
"Paper City Savings Bank, S.A.",4200 8th St S,54494,Wisconsin Rapids,WI,Michael Boydston
Anthem Bank & Trust,23910 Railroad Ave,70764,Plaquemine,LA,Mikell Tomlinson
Home Federal Bank of Tennessee,515 Market St,37902,Knoxville,TN,Bruce Taylor
Martinsville First Savings Bank,25 W Church St,24112,Martinsville,VA,Bruce Taylor
Lincoln FSB of Nebraska,8400 Maddox Dr,68520,Lincoln,NE,Mikell Tomlinson
Buffalo Federal Bank,106 Fort St,82834,Buffalo,WY,Michael Ghalibaf
Century Next Bank,505 N Vienna St,71270,Ruston,LA,Mikell Tomlinson
The Southern Bank Company,221 S 6th St,35901,Gadsden,AL,Eric Allen
Aroostook County Federal Savings and Loan Association,43 High St,4736,Caribou,ME,Mikell Tomlinson
First Seacoast Bank,633 Central Ave,3820,Dover,NH,Mikell Tomlinson
Clay County Savings Bank,1178 W Kansas St,64068,Liberty,MO,Bruce Taylor
Vidalia Federal Savings Bank,300 Jackson St,30474,Vidalia,GA,Todd Wentz
Carrollton Federal Bank,2539 Highway 227,41008,Carrollton,KY,Mikell Tomlinson
First Federal Bank,611 E College St,37055,Dickson,TN,Bruce Taylor
High Country Bank,7360 W Us Highway 50,81201,Salida,CO,Mikell Tomlinson
Catalyst Bank,235 N Court St,70570,Opelousas,LA,Michael Boydston
Eaton Community Bank,236 S Cochran Ave,48813,Charlotte,MI,Mikell Tomlinson
"The Liberty Savings Association, FSA",24 S Judson St,66701,Fort Scott,KS,Mikell Tomlinson
Farmers and Merchants Bank,104 N Main St,30467,Sylvania,GA,Mikell Tomlinson
Elizabethton Federal Savings Bank,112 N Sycamore St,37643,Elizabethton,TN,Bruce Taylor
Riverview Bank,900 Washington St,98660,Vancouver,WA,Michael Boydston
First Federal Savings Bank of Kentucky,216 W Main St,40601,Frankfort,KY,Mikell Tomlinson
Phoenixville Federal Bank and Trust,564 Nutt Rd,19460,Phoenixville,PA,Michael Boydston
Cornerstone Bank,123 E Main St,51632,Clarinda,IA,Michael Boydston
"Spencer Savings Bank, SLA",611 River Dr,7407,Elmwood Park,NJ,Eric Allen
Monroe Savings Bank,114 S Main St,8094,Williamstown,NJ,Bruce Taylor
Oconee Federal Savings and Loan Association,115 E North 2nd St,29678,Seneca,SC,Todd Wentz
"Hatboro Federal Savings, FA",221 S York Rd,19040,Hatboro,PA,Michael Boydston
First Community Bank of Cullman,420 2nd Ave Sw,35055,Cullman,AL,Eric Allen
Cullman Savings Bank,316 2nd Ave Sw,35055,Cullman,AL,Eric Allen
Millville Savings Bank,100 Albertson St,8332,Millville,NJ,Eric Allen
Cross County Savings Bank,7921 Metropolitan Ave,11379,Middle Village,NY,Eric Allen
"First Federal Bank Littlefield, Texas",2313 Phelps Ave,79339,Littlefield,TX,Eric Allen
First State Bank of Blakely,2213 S Main St,39823,Blakely,GA,Eric Allen
Maspeth Federal Savings and Loan Association,5618 69th St,11378,Maspeth,NY,Eric Allen
East Wisconsin Savings Bank,109 W 2nd St,54130,Kaukauna,WI,Mikell Tomlinson
Beauregard Federal Savings Bank,122 Jefferson Ave,70634,Deridder,LA,Michael Boydston
First Savings and Loan Association,206 W Center St,27302,Mebane,NC,Bruce Taylor
1st Bank of Sea Isle City,4301 Landis Ave,8243,Sea Isle City,NJ,Eric Allen
Gunnison Savings and Loan Association,303 N Main St,81230,Gunnison,CO,Mikell Tomlinson
Tecumseh Federal Bank,160 N 4th St,68450,Tecumseh,NE,Mikell Tomlinson
Geddes Federal Savings and Loan Association,2208 W Genesee St,13219,Syracuse,NY,Eric Allen
Franklin Bank,1179 Route 40,8098,Pilesgrove,NJ,Bruce Taylor
Massena Savings and Loan,255 Main St,13662,Massena,NY,Eric Allen
"Morganton Savings Bank, S.S.B.",100 S King St,28655,Morganton,NC,Bruce Taylor
First Federal Bank of Louisiana,1135 Lake Shore Dr,70601,Lake Charles,LA,Michael Boydston
Rayne Building and Loan Association,200 N Adams Ave,70578,Rayne,LA,Mikell Tomlinson
Jackson Federal Savings and Loan Association,414 2nd St,56143,Jackson,MN,Todd Wentz
Lake Shore Bank,128 E 4th St,14048,Dunkirk,NY,Eric Allen
First Shore Federal Savings and Loan Association,106 S Division St,21801,Salisbury,MD,Bruce Taylor
KCB Bank,221 N Main St,67860,Lakin,KS,Mikell Tomlinson
Equitable Savings and Loan Association,221 N 3rd St,80751,Sterling,CO,Mikell Tomlinson
Bar Harbor Savings and Loan Association,103 Main St,4609,Bar Harbor,ME,Mikell Tomlinson
Mid-Central National Bank,520 Jefferson St S,56482,Wadena,MN,Todd Wentz
Gouverneur Savings and Loan Association,42 Church St,13642,Gouverneur,NY,Eric Allen
Cenlar FSB,425 Phillips Blvd,8618,Ewing,NJ,Eric Allen
HomeTown  Bank,1600 Monroe Drive,55315,Carver,MN,Todd Wentz
Anderson Brothers Bank,101 N Main St,29574,Mullins,SC,Todd Wentz
First Federal Bank,200 E Divine St,28334,Dunn,NC,Bruce Taylor
Jarrettsville Federal Savings and Loan Association,3706 Norrisville Rd,21084,Jarrettsville,MD,Bruce Taylor
"Pickens Savings and Loan Association, FA",205 E Cedar Rock St,29671,Pickens,SC,Todd Wentz
Blue Grass Federal Savings and Loan Association,600 High St,40361,Paris,KY,Mikell Tomlinson
Security Federal Bank,238 Richland Ave W,29801,Aiken,SC,Todd Wentz
"First Federal Bank, A FSB",1300 Mcfarland Blvd Ne,35406,Tuscaloosa,AL,Eric Allen
Security Federal Savings Bank of McMinnville,306 W Main St,37110,Mcminnville,TN,Bruce Taylor
Citizens Savings Bank,500 S State St,18411,Clarks Summit,PA,Eric Allen
First Federal Savings and Loan Association,479 Main St,41701,Hazard,KY,Mikell Tomlinson
"Greeneville Federal Bank, FSB",101 W Summer St,37743,Greeneville,TN,Bruce Taylor
LifeStore Bank,205 S Jefferson Ave,28694,West Jefferson,NC,Bruce Taylor
Highland Federal Savings and Loan Association,106 S Main St,38555,Crossville,TN,Bruce Taylor
Homewood Federal Savings Bank,3228 Eastern Ave,21224,Baltimore,MD,Mikell Tomlinson
First Federal Bank,4705 W Us Highway 90,32055,Lake City,FL,Eric Allen
West Plains Savings and Loan Association,417 W Broadway St,65775,West Plains,MO,Bruce Taylor
"Colonial Savings, F.A.",2626c West Fwy,76102,Fort Worth,TX,Michael Boydston
"Axiom Bank, National Association",258 Southhall Ln,32751,Maitland,FL,Eric Allen
First Federal Savings and Loan Association,211 W Main St,40351,Morehead,KY,Mikell Tomlinson
Bessemer Trust Company,100 Woodbridge Center Dr,7095,Woodbridge,NJ,Eric Allen
First Fidelity Bank,1400 Gault Ave N,35967,Fort Payne,AL,Eric Allen
Equitable Bank,113 N Locust St,68801,Grand Island,NE,Bruce Taylor
Progressive Ozark Bank,904 W Scenic Rivers Blvd,65560,Salem,MO,Bruce Taylor
Volunteer Federal Savings Bank,108 Main St,37354,Madisonville,TN,Bruce Taylor
RiverBank,203 W Broadway St,72455,Pocahontas,AR,Michael Boydston
"Home Savings Bank, FSB",202 Elm St,41016,Ludlow,KY,Mikell Tomlinson
Home Federal Savings and Loan Association,2990 Main Hwy,29003,Bamberg,SC,Todd Wentz
Bank of Hartington,229 N Broadway Ave,68739,Hartington,NE,Mikell Tomlinson
"Interamerican Bank, A FSB",9190 Coral Way,33165,Miami,FL,Eric Allen
Financial Federal Bank,1715 Aaron Brenner Dr,38120,Memphis,TN,Bruce Taylor
"Grand Bank for Savings, FSB",204 Westover Dr,39402,Hattiesburg,MS,Mikell Tomlinson
CBL State Savings Bank,229 Trade St,29651,Greer,SC,Todd Wentz
"Cypress Bank, SSB",120 S Greer Blvd,75686,Pittsburg,TX,Mikell Tomlinson
The Four County Bank,959 Main St,31017,Allentown,GA,Mikell Tomlinson
TrustCo Bank,1 Sarnowski Dr,12302,Glenville,NY,Eric Allen
First Western Federal Savings Bank,402 Main St,57701,Rapid City,SD,Todd Wentz
Slovenian Savings and Loan Association of Franklin-Conemaugh,361 1st St,15909,Conemaugh,PA,Eric Allen
Madison County Bank,111 W 3rd St,68748,Madison,NE,Bruce Taylor
"VIKING BANK, NATIONAL ASSOCIATION",4277 Dakota Street,56308,Alexandria,MN,Todd Wentz
"Wilmington Savings Fund Society, FSB",500 Delaware Ave,19801,Wilmington,DE,Bruce Taylor
Abacus Federal Savings Bank,6 Bowery,10013,New York,NY,Eric Allen
Miami Savings Bank,8008 Ferry Street,45041,Miamitown,OH,Michael Boydston
"Eastern Savings Bank, FSB",11350 Mccormick Rd,21031,Hunt Valley,MD,Bruce Taylor
"Presidential Bank, FSB",4520 East West Hwy,20814,Bethesda,MD,Mikell Tomlinson
Homeland Federal Savings Bank,7840 Highway 165,71418,Columbia,LA,Michael Boydston
BayVanguard Bank,7114 N Point Rd,21219,Baltimore,MD,Mikell Tomlinson
"LendingClub Bank, National Association",2701 N Thanksgiving Way,84043,Lehi,UT,Michael Ghalibaf
First Savings Bank,201 N 3rd St,57004,Beresford,SD,Todd Wentz
Northwest Bank,705 Grand Ave,51301,Spencer,IA,Michael Boydston
Colorado Federal Savings Bank,8400 E Prentice Ave,80111,Greenwood Village,CO,Mikell Tomlinson
Scale Bank,7600 Parklawn Ave,55435,Edina,MN,Todd Wentz
Adams County Bank,401 N Smith Ave,68956,Kenesaw,NE,Bruce Taylor
Amboy Bank,3590 Us Highway 9,8857,Old Bridge,NJ,Eric Allen
Fusion Bank,116 W 6th St,67550,Larned,KS,Mikell Tomlinson
The Bank of Elk River,630 Main St Nw,55330,Elk River,MN,Todd Wentz
First State Bank,101 S Center St,72086,Lonoke,AR,Michael Boydston
Lake-Osceola State Bank,790 Michigan Ave,49304,Baldwin,MI,Michael Boydston
First National Bank of Clarksdale,402 E 2nd St,38614,Clarksdale,MS,Michael Boydston
Raymond James Bank,710 Carillon Pkwy,33716,Saint Petersburg,FL,Eric Allen
FNB SOUTH,423 W 12th St,31510,Alma,GA,Todd Wentz
Frontier Bank,101 S Phillips Ave,57104,Sioux Falls,SD,Michael Boydston
The Cleveland State Bank,110 Commerce Ave,38732,Cleveland,MS,Eric Allen
Lusitania Savings Bank,107 Pulaski St,7105,Newark,NJ,Eric Allen
The Portage County Bank,1155 County Road D,54909,Almond,WI,Mikell Tomlinson
Elysian Bank,121 Main St E,56028,Elysian,MN,Todd Wentz
Legends West Bank,302 Main St,69147,Lewellen,NE,Mikell Tomlinson
F & C Bank,1006 Eagle Crest Dr,64040,Holden,MO,Bruce Taylor
"The Farmers State Bank of Bucklin, Kansas",111 N Main St,67834,Bucklin,KS,Mikell Tomlinson
Bank of Eastern Oregon,279 N Main St,97836,Heppner,OR,Michael Boydston
Northview Bank,510 Main St,55072,Sandstone,MN,Todd Wentz
"Bank of Bridger, National Association",101 S Main St,59014,Bridger,MT,Michael Boydston
"NEXTIER BANK, NATIONAL ASSOCIATION",222 Market St,16201,Kittanning,PA,Eric Allen
Capon Valley Bank,2 W Main St,26851,Wardensville,WV,Mikell Tomlinson
Bank 7,1039 Nw 63rd St,73116,Oklahoma City,OK,Michael Boydston
Citizens Bank of Americus,119 N Lee St,31709,Americus,GA,Eric Allen
Security Bank,112 E Main St,54757,New Auburn,WI,Mikell Tomlinson
FM Bank,220 Elm Ave E,56093,Waseca,MN,Todd Wentz
State Bank of Burrton,200 N Burrton Ave,67020,Burrton,KS,Mikell Tomlinson
American State Bank of Grygla,102 S Main Ave,56727,Grygla,MN,Todd Wentz
Alliance Bank,245 S Eau Claire St,54755,Mondovi,WI,Mikell Tomlinson
State Savings Bank,703 Main St,49635,Frankfort,MI,Mikell Tomlinson
First Southeast Bank,3 Main Ave N,55939,Harmony,MN,Todd Wentz
The First National Bank of Henning,106 Mn Highway 78 N,56571,Ottertail,MN,Todd Wentz
Dime Community Bank,898 Veterans Memorial Hwy,11788,Hauppauge,NY,Eric Allen
Commercial Bank & Trust Company,212 W Gaines St,71655,Monticello,AR,Michael Boydston
First National Community Bank,109 E 2nd St,54017,New Richmond,WI,Mikell Tomlinson
PCSB Bank,2477 Route 6,10509,Brewster,NY,Eric Allen
Produce State Bank,109 Park Ave W,56045,Hollandale,MN,Todd Wentz
Baraboo State Bank,101 3rd Ave,53913,Baraboo,WI,Mikell Tomlinson
First Secure Bank and Trust Co.,10360 S Roberts Rd,60465,Palos Hills,IL,Michael Boydston
Diamond Bank,319 E Main,71958,Murfreesboro,AR,Michael Boydston
Harvest Bank,75 N Main St,55353,Kimball,MN,Todd Wentz
Peoples Bank & Trust Company,1203 Hillsboro Blvd,37355,Manchester,TN,Bruce Taylor
"The Citizens Bank of Philadelphia, Mississippi",521 W Main St,39350,Philadelphia,MS,Mikell Tomlinson
Amistad Bank,1301 Veterans Blvd,78840,Del Rio,TX,Michael Boydston
The First National Bank of Waynesboro,626 N Liberty St,30830,Waynesboro,GA,Mikell Tomlinson
Central Bank,11201 Clay Rd,77041,Houston,TX,Mikell Tomlinson
"First State Bank of Ben Wheeler, Texas",14269 State Highway 64,75754,Ben Wheeler,TX,Eric Allen
Powell Valley National Bank,33785 Main Street,24263,Jonesville,VA,Bruce Taylor
Bank of Anguilla,130 Holland St,38721,Anguilla,MS,Eric Allen
Farmers Bank and Trust Company,400 W Main St,72315,Blytheville,AR,Michael Boydston
Premier Bank,2866 White Bear Ave N,55109,Maplewood,MN,Todd Wentz
MA Bank,1513 N Missouri St,63552,Macon,MO,Bruce Taylor
First Western Bank,80 W Main St,72927,Booneville,AR,Michael Boydston
State Street Bank and Trust Company,One Congress Street,2114,Boston,MA,Michael Boydston
Bonduel State Bank,130 N Cecil St,54107,Bonduel,WI,Todd Wentz
First State Bank,300 E Broad St,30833,Wrens,GA,Todd Wentz
Oakwood Bank,40214 S Ekern Avenue,54760,Pigeon Falls,WI,Todd Wentz
Bank of Ontario,315 Main St,54651,Ontario,WI,Michael Boydston
United Bank,685 Griffin St,30295,Zebulon,GA,Eric Allen
"Farmers State Bank, Allen, Oklahoma",201 E Broadway,74825,Allen,OK,Michael Boydston
Bank of Rantoul,201 E Champaign Ave,61866,Rantoul,IL,Michael Ghalibaf
"Calvin B. Taylor Banking Company of Berlin, Maryland",24 N Main St,21811,Berlin,MD,Mikell Tomlinson
Richton Bank & Trust Company,114 South Front Street,39476,Richton,MS,Mikell Tomlinson
ESB Bank,115 N Highway 44/76,55921,Caledonia,MN,Todd Wentz
"Community Heritage Financial, Inc.",24 West Main Street,21769,Middletown,MD,Bruce Taylor
Peoples Exchange Bank,2013 S Highway 21 Byp,36460,Monroeville,AL,Eric Allen
The Commercial National Bank of Brady,105 E 2nd St,76825,Brady,TX,Eric Allen
First Commonwealth Bank,654 Philadelphia St,15701,Indiana,PA,Eric Allen
First National Bank,200 W Court St,72450,Paragould,AR,Michael Boydston
Commercial Bank,401 S Main St,68961,Nelson,NE,Bruce Taylor
Security State Bank,7865 Us Highway 2,54847,Iron River,WI,Michael Boydston
The Miners National Bank of Eveleth,401 Grant Ave,55734,Eveleth,MN,Todd Wentz
Bridge City State Bank,701 W Round Bunch Rd,77611,Bridge City,TX,Mikell Tomlinson
"Intercredit Bank, National Association",396 Alhambra Cir,33134,Coral Gables,FL,Eric Allen
Citizens Bank of the Midwest,1515 Martin Springs Dr,65401,Rolla,MO,Bruce Taylor
Platte Valley Bank,606 Main St,68649,North Bend,NE,Bruce Taylor
Vintage Bank Kansas,101 S Main St,67074,Leon,KS,Mikell Tomlinson
Bank Midwest,1800 Royal Ave,51360,Spirit Lake,IA,Michael Boydston
Jefferson Bank,"1900 Broadway, Suite 100",78215,San Antonio,TX,Mikell Tomlinson
The State Bank of Faribault,428 Central Ave N,55021,Faribault,MN,Todd Wentz
Farmers Bank and Trust Company,111 W Washington St,42445,Princeton,KY,Mikell Tomlinson
The Dart Bank,368 S Park St,48854,Mason,MI,Mikell Tomlinson
Prairie Bank of Kansas,200 S Main St,67578,Stafford,KS,Mikell Tomlinson
Commerce Bank,101 Central Ave S,56035,Geneva,MN,Todd Wentz
Relyance Bank,8500 Sheridan Rd,71602,White Hall,AR,Michael Boydston
First Bank,128 S Broadway Ave,67579,Sterling,KS,Mikell Tomlinson
Apex Bank,102 E Main St,38320,Camden,TN,Bruce Taylor
Centera Bank,119 S Inman St,67877,Sublette,KS,Mikell Tomlinson
Farmers and Merchants Union Bank,159 W James St,53925,Columbus,WI,Todd Wentz
The Bank of Tescott,104 S Main St,67484,Tescott,KS,Mikell Tomlinson
"MBT Bancshares, Inc.",3344 Metairie Road,70001,Metairie,LA,Mikell Tomlinson
